sample,SequentialFD,SortedListFD,OrderedFD,MapFD
50,138826,246486,87981,49894.5
100,131504.5,275619.5,167628,58284
150,40628.5,81509,100942.5,50388
200,74876,124655.5,72560,35750.5
250,116371.5,198504,105045.5,56500
300,112926.5,193674,57815.5,46270.5
350,123617.5,191980,52256.5,30932
400,181265.5,263046.5,60055,31496
450,206184,309956,65475.5,32938.5
500,253696,382866.56,73487,40360
550,307650,465399.28,108941,43364
600,360540.47,528092.2,102888,52166
650,454794.4,649890.94,109940.5,50968
700,498164.9,724092.56,111667,60806
750,555088.9,814368.25,117526.5,54242.5
800,649343.25,961891.7,133254.5,58226
850,740617.7,1089960.8,138294.5,69358.5
900,798861.94,1160847.5,171265,64711.5
950,873499.6,1272321,150248.5,75727.5
1000,921762.56,1350155.9,148838,80041.5
